ISIN,Company,BBG Ticker,Sector,Industry,Country,Region,MarketCap,SustainEx,NZAF,MSCI,ENERGY_CONSUMP_INTEN_USD,WATER_WD_INTEN_RECENT,CARBON_EMISSIONS_SCOPE_12_INTEN,HAS_COMMITTED_TO_SBTI_TARGET,HAS_SBTI_APPROVED_TARGET,SUST_BIODIV_PROTECT_POL_VALUE,TARGET_SUMMARY_CUM_CHANGE_2030,SBTI_NET_ZERO_TARGET_STATUS,Average Employee Length of service,Microfinance Impact Investment,Supplier ESG training
IE00B4BNMY34,Accenture Public Limited Company,IE00B4BNMY34,Industrials,Ind. Goods & Services,United States,N America,242775.60,,,,0.01,22.51,2.96,0.00,1.00,0.00,-100.00,1.00,,,1.00
US40434L1052,Hp Inc.,US40434L1052,Technology,Technology,United States,N America,35667.18,,,,0.01,35.36,3.86,0.00,1.00,0.00,-53.68,1.00,,,1.00
US1890541097,The Clorox Company,US1890541097,Consumer Staples,Drug & Grocery Stores,United States,N America,19810.38,,,,0.10,,36.92,0.00,1.00,0.00,-16.36,1.00,,,1.00
US2310211063,Cummins Inc.,US2310211063,Industrials,Ind. Goods & Services,United States,N America,46057.59,,,,0.11,133.24,30.00,0.00,1.00,0.00,1.59,0.00,,,1.00
US0718131099,Baxter International Inc.,US0718131099,Health Care,Health Care,United States,N America,18641.88,,,,0.22,994.18,52.01,0.00,0.00,0.00,1.73,0.00,,,1.00
GB0031348658,Barclays Plc,GB0031348658,Financials,Banks,United Kingdom,W Europe,44832.50,,,,0.01,13.36,2.82,0.00,0.00,0.00,-83.28,0.00,,,0.00
FR0014004L86,Dassault Aviation Sa,FR0014004L86,Industrials,Ind. Goods & Services,France,W Europe,15955.79,,,,0.03,40.63,12.13,0.00,0.00,0.00,8.27,0.00,14.00,,1.00
JP3689500001,Oracle Corporation Japan,JP3689500001,Technology,Technology,Japan,APAC,12978.57,,,,1.54,,7.20,0.00,0.00,0.00,-8.28,0.00,9.10,,0.00
US0126531013,Albemarle Corporation,US0126531013,Basic Materials,Chemicals,United States,N America,11990.75,,,,0.47,3087.39,124.20,0.00,0.00,0.00,3.05,0.00,,,1.00
FR0006174348,Bureau Veritas Sa,FR0006174348,Industrials,Ind. Goods & Services,France,W Europe,14692.90,,,,0.05,166.00,24.46,0.00,1.00,1.00,-59.16,0.00,,,1.00
US0382221051,"Applied Materials, Inc.",US0382221051,Technology,Technology,United States,N America,169052.20,,,,0.02,,5.41,0.00,1.00,0.00,-44.46,0.00,,,1.00
SE0007100581,Assa Abloy Ab,SE0007100581,Industrials,Construction & Mats,Sweden,W Europe,35897.86,,,,0.04,89.59,20.20,0.00,1.00,0.00,-75.39,1.00,,,1.00
KR7003670007,"Posco Future M Co., Ltd.",KR7003670007,Basic Materials,Basic Resources,South Korea,APAC,14149.39,,,,1.80,27335.01,854.90,0.00,0.00,0.00,,0.00,8.60,,1.00
NO0003043309,Kongsberg Gruppen Asa,NO0003043309,Industrials,Ind. Goods & Services,Norway,W Europe,17640.76,,,,0.04,,2.70,0.00,1.00,0.00,-24.96,0.00,,,1.00
CNE1000004S4,"Zhejiang Expressway Co., Ltd.",CNE1000004S4,Industrials,Ind. Goods & Services,China,Em APAC,4418.89,,,,0.04,244.14,18.56,0.00,0.00,0.00,,0.00,,,0.00
JP3300200007,Konami Group Corporation,JP3300200007,Consumer Discretion,Consumer Prod & Svs,Japan,APAC,14213.97,,,,0.01,,12.10,0.00,0.00,0.00,,0.00,14.90,,0.00
JP3902400005,Mitsubishi Electric Corporation,JP3902400005,Industrials,Ind. Goods & Services,Japan,APAC,33892.78,,,,0.17,289.36,30.60,0.00,1.00,0.00,-0.09,0.00,,,1.00
JP3818000006,Fujitsu Limited,JP3818000006,Technology,Technology,Japan,APAC,43374.44,,,,0.06,220.40,19.36,0.00,1.00,0.00,-6.30,1.00,,,1.00
JP3735400008,Nippon Telegraph And Telephone Corporation,JP3735400008,Telecommunications,Telecommunications,Japan,APAC,89782.86,,,,0.13,90.17,25.70,0.00,1.00,0.00,-7.29,0.00,,,1.00
JP3435000009,Sony Group Corporation,JP3435000009,Consumer Discretion,Consumer Prod & Svs,Japan,APAC,117738.93,,,,0.09,231.01,15.40,0.00,1.00,0.00,-40.42,1.00,11.50,,1.00
AU000000BXB1,Brambles Limited,AU000000BXB1,Industrials,Ind. Goods & Services,Australia,APAC,18010.99,,,,0.04,35.48,8.14,0.00,1.00,0.00,-22.58,0.00,,,0.00
DE0005785802,Fresenius Medical Care Ag,DE0005785802,Health Care,Health Care,Germany,W Europe,11714.15,,,,0.12,1805.54,33.85,1.00,0.00,0.00,-0.71,1.00,8.20,,1.00
INE208A01029,Ashok Leyland Limited,INE208A01029,Industrials,Ind. Goods & Services,India,Em APAC,7958.77,,,,0.10,399.57,25.90,1.00,0.00,0.00,,1.00,,,1.00
TRAASELS91H2,Aselsan Elektronik Sanayi Ve Ticaret Anonim Sirketi,TRAASELS91H2,Industrials,Ind. Goods & Services,Turkey,Em Europe,7459.66,,,,0.08,,33.90,0.00,0.00,0.00,5.09,0.00,7.61,,1.00
INE465A01025,Bharat Forge Ltd,INE465A01025,Basic Materials,Basic Resources,India,Em APAC,8264.79,,,,0.49,670.05,225.16,0.00,1.00,0.00,-58.13,1.00,,,0.00
INE702C01027,Apl Apollo Tubes Limited,INE702C01027,Basic Materials,Basic Resources,India,Em APAC,5188.36,,,,0.14,299.87,45.10,1.00,0.00,0.00,,1.00,,,0.00
INE216A01030,Britannia Industries Ltd,INE216A01030,Consumer Staples,"Food, Bev. and Tobacc",India,Em APAC,17128.92,,,,0.25,503.45,63.56,0.00,0.00,0.00,,0.00,,,0.00
BMG2519Y1084,Credicorp Ltd.,BMG2519Y1084,Financials,Banks,United States,N America,14852.51,,,,0.01,93.04,3.00,0.00,0.00,0.00,-10.62,0.00,,2.24,1.00
US0533321024,"Autozone, Inc.",US0533321024,Consumer Discretion,Retailers,United States,N America,52974.63,,,,0.10,,26.13,0.00,0.00,0.00,6.98,0.00,,,1.00
US4592001014,International Business Machines Corporation,US4592001014,Technology,Technology,United States,N America,214866.90,,,,0.04,,6.09,0.00,0.00,0.00,-100.00,0.00,,,1.00
JP3420600003,"Sekisui House, Ltd.",JP3420600003,Consumer Discretion,Consumer Prod & Svs,Japan,APAC,16927.48,,,,0.02,46.98,3.60,0.00,1.00,0.00,-31.41,0.00,16.80,,1.00
CNE000001733,Guangzhou Baiyunshan Pharmaceutical Holdings Company Limited,CNE000001733,Health Care,Health Care,China,Em APAC,6278.86,,,,0.04,488.11,16.21,0.00,0.00,0.00,,0.00,,,1.00
TH0168A10Z01,Bumrungrad Hospital Public Company Limited,TH0168A10Z01,Health Care,Health Care,Thailand,Em APAC,6460.98,,,,0.00,736.11,39.58,0.00,0.00,0.00,,0.00,,,0.00
US4581401001,Intel Corporation,US4581401001,Technology,Technology,United States,N America,100530.50,,,,0.18,807.59,24.40,0.00,0.00,0.00,-26.97,0.00,,,1.00
JP3137200006,Isuzu Motors Limited,JP3137200006,Industrials,Ind. Goods & Services,Japan,APAC,9859.72,,,,0.06,90.48,12.70,1.00,0.00,1.00,-31.09,0.00,,,0.00
JP3143600009,Itochu Corporation,JP3143600009,Industrials,Ind. Goods & Services,Japan,APAC,82098.08,,,,0.00,,16.90,0.00,0.00,0.00,-42.51,0.00,,,0.00
JP3500610005,"Resona Holdings, Inc.",JP3500610005,Financials,Banks,Japan,APAC,15783.59,,,,0.03,,9.01,0.00,0.00,0.00,8.92,0.00,17.10,,0.00
JP3893600001,"Mitsui & Co., Ltd.",JP3893600001,Industrials,Ind. Goods & Services,Japan,APAC,64830.82,,,,0.10,2677.34,7.57,0.00,0.00,0.00,-28.38,0.00,,,1.00
US8064071025,"Henry Schein, Inc.",US8064071025,Health Care,Health Care,United States,N America,8936.70,,,,0.02,,6.23,0.00,0.00,0.00,,0.00,,,0.00
US57667L1070,"Match Group, Inc.",US57667L1070,Technology,Technology,United States,N America,9727.80,,,,0.01,,0.30,1.00,0.00,0.00,-28.57,1.00,,,0.00
CH0114405324,Garmin Ltd.,CH0114405324,Consumer Discretion,Consumer Prod & Svs,United States,N America,31886.34,,,,0.15,,24.44,0.00,0.00,0.00,,0.00,,,1.00
JP3837800006,Hoya Corporation,JP3837800006,Health Care,Health Care,Japan,APAC,49659.22,,,,0.19,2667.75,88.77,0.00,0.00,0.00,-3.81,0.00,20.20,,0.00
US61174X1090,Monster Beverage Corporation,US61174X1090,Consumer Staples,"Food, Bev. and Tobacc",United States,N America,50457.19,,,,0.02,,3.61,1.00,0.00,0.00,,0.00,,,0.00
JP3684000007,Nitto Denko Corporation,JP3684000007,Basic Materials,Chemicals,Japan,APAC,11716.60,,,,0.31,864.41,100.50,0.00,0.00,0.00,5.60,0.00,10.70,,0.00
US0584981064,Ball Corporation,US0584981064,Industrials,Ind. Goods & Services,United States,N America,19622.46,,,,0.33,591.59,81.60,0.00,1.00,0.00,-70.16,0.00,,,0.00
KYG040111059,Anta Sports Products Limited,KYG040111059,Consumer Discretion,Consumer Prod & Svs,Hong Kong,Em APAC,36440.12,,,,0.04,185.25,23.17,0.00,1.00,0.00,8.29,0.00,,,1.00
